model_variant,age_group,n,tp,fp,tn,fn,tpr,fnr,fpr,tnr,precision,selection_rate
with_grad_year,<30,506.0,260.0,42.0,182.0,22.0,0.9219858156028369,0.07801418439716312,0.1875,0.8125,0.8609271523178808,0.5968379446640316
with_grad_year,30-39,600.0,376.0,42.0,134.0,48.0,0.8867924528301887,0.11320754716981132,0.23863636363636365,0.7613636363636364,0.8995215311004785,0.6966666666666667
with_grad_year,40-49,503.0,205.0,33.0,232.0,33.0,0.8613445378151261,0.13865546218487396,0.12452830188679245,0.8754716981132076,0.8613445378151261,0.4731610337972167
with_grad_year,50-59,291.0,31.0,14.0,233.0,13.0,0.7045454545454546,0.29545454545454547,0.05668016194331984,0.9433198380566802,0.6888888888888889,0.15463917525773196
with_grad_year,60+,100.0,3.0,0.0,88.0,9.0,0.25,0.75,0.0,1.0,1.0,0.03
without_grad_year,<30,506.0,259.0,37.0,187.0,23.0,0.9184397163120568,0.08156028368794327,0.16517857142857142,0.8348214285714286,0.875,0.5849802371541502
without_grad_year,30-39,600.0,374.0,41.0,135.0,50.0,0.8820754716981132,0.1179245283018868,0.23295454545454544,0.7670454545454546,0.9012048192771084,0.6916666666666667
without_grad_year,40-49,503.0,202.0,35.0,230.0,36.0,0.8487394957983193,0.15126050420168066,0.1320754716981132,0.8679245283018868,0.8523206751054853,0.4711729622266402
without_grad_year,50-59,291.0,31.0,16.0,231.0,13.0,0.7045454545454546,0.29545454545454547,0.06477732793522267,0.9352226720647774,0.6595744680851063,0.16151202749140894
without_grad_year,60+,100.0,3.0,0.0,88.0,9.0,0.25,0.75,0.0,1.0,1.0,0.03
