model_variant,age_group,n,actual_callback_rate,predicted_callback_rate,avg_predicted_probability
with_grad_year,<30,506,0.5573122529644269,0.5968379446640316,0.5898386002440115
with_grad_year,30-39,600,0.7066666666666667,0.6966666666666667,0.6886256342969925
with_grad_year,40-49,503,0.4731610337972167,0.4731610337972167,0.48428925415237556
with_grad_year,50-59,291,0.15120274914089346,0.15463917525773196,0.17569109949597708
with_grad_year,60+,100,0.12,0.03,0.07386550929494119
without_grad_year,<30,506,0.5573122529644269,0.5849802371541502,0.5826714058603767
without_grad_year,30-39,600,0.7066666666666667,0.6916666666666667,0.6878627404651732
without_grad_year,40-49,503,0.4731610337972167,0.4711729622266402,0.4880613287215639
without_grad_year,50-59,291,0.15120274914089346,0.16151202749140894,0.17960244966364267
without_grad_year,60+,100,0.12,0.03,0.08012433300882699
