model_variant,age_group,n,avg_similarity_score,median_similarity_score,std_similarity_score
with_grad_year,<30,2499,0.3967774149010388,0.3967600422471167,0.06589260105532631
with_grad_year,30-39,2969,0.4147630944749117,0.4147119282719436,0.07292214564897165
with_grad_year,40-49,2489,0.36421402703319294,0.364395995304835,0.08480338691058134
with_grad_year,50-59,1543,0.2549213544827215,0.2509781789947015,0.07758304875468354
with_grad_year,60+,500,0.18368832729721774,0.17685646611036285,0.05874496530598035
without_grad_year,<30,2499,0.40042345594028916,0.40044018695545647,0.06727173052154271
without_grad_year,30-39,2969,0.41467619236875775,0.4148083681844518,0.07317956554654065
without_grad_year,40-49,2489,0.3675890867793555,0.36803841954648464,0.0846210610763394
without_grad_year,50-59,1543,0.2650730789083634,0.26124758732594866,0.07909178303894336
without_grad_year,60+,500,0.19665836085682853,0.19129729700592277,0.06145110730894379
