model_variant,age_group,n,pass_rate,avg_similarity_score
with_grad_year,<30,2499,0.501000400160064,0.3967774149010388
with_grad_year,30-39,2969,0.6062647356012125,0.4147630944749117
with_grad_year,40-49,2489,0.3551627159501808,0.36421402703319294
with_grad_year,50-59,1543,0.04147764095917045,0.2549213544827215
with_grad_year,60+,500,0.0,0.18368832729721774
without_grad_year,<30,2499,0.5054021608643458,0.40042345594028916
without_grad_year,30-39,2969,0.5904344897271808,0.41467619236875775
without_grad_year,40-49,2489,0.361992768179992,0.3675890867793555
without_grad_year,50-59,1543,0.053791315618924175,0.2650730789083634
without_grad_year,60+,500,0.0,0.19665836085682853
